date,league,home_team,away_team,market,prob,fair_odds,book_odds,ev,overround,kelly,stake,pnl,bankroll_after,won
2021-09-13,B1,Beerschot VA,St Truiden,away,0.4221,2.369,2.7,0.1398,0.0645,0.02055,20.55,34.935,1034.935,True
2021-09-17,B1,Cercle Brugge,Eupen,away,0.5588,1.79,3.4,0.8998,0.0597,0.04,41.3974,99.3538,1134.2888,True
2021-09-18,B1,Charleroi,Club Brugge,home,0.5094,1.963,4.75,1.4195,0.0797,0.04,45.3716,-45.3716,1088.9172,False
2021-09-19,B1,Standard,Anderlecht,away,0.8322,1.202,2.05,0.7059,0.085,0.04,45.0028,47.2529,1172.3222,True
2021-09-19,B1,St Truiden,Genk,away,0.6499,1.539,1.83,0.1893,0.0623,0.04,43.5567,36.1521,1125.0693,True
2021-09-22,B1,Antwerp,Genk,away,0.5313,1.882,2.05,0.0891,0.1104,0.02122,24.8767,-24.8767,1147.4455,False
2021-09-22,F1,Lorient,Nice,away,0.6931,1.443,2.15,0.4903,0.0539,0.04,37.194,-37.194,892.655,False
2021-09-22,F1,Lens,Strasbourg,home,0.5685,1.759,1.95,0.1086,0.0573,0.02859,27.3668,-27.3668,929.849,False
2021-09-22,F1,Angers,Marseille,draw,0.4085,2.448,3.25,0.3276,0.0622,0.03641,32.2132,72.4798,957.2158,True
2021-09-22,F1,Rennes,Clermont,draw,0.4915,2.035,3.6,0.7692,0.0538,0.04,36.864,-36.864,884.736,False
2021-09-22,F1,Monaco,St Etienne,draw,0.5259,1.901,4.0,1.1038,0.0574,0.04,38.4,-38.4,921.6,False
2021-09-22,F1,Nantes,Brest,draw,0.6009,1.664,3.5,1.1033,0.0676,0.04,40.0,-40.0,960.0,False
2021-09-23,B1,Anderlecht,Gent,home,0.6821,1.466,2.15,0.4665,0.1041,0.04,45.8978,-45.8978,1101.5477,False
2021-09-24,T1,Altay,Besiktas,home,0.525,1.905,2.7,0.4176,0.0645,0.04,40.0,68.0,1068.0,True
